ÇàÁ¤µ¿ÄÚµå,½Ã°£´ë±¸ºÐ,ÃÑ»ýÈ°ÀÎ±¸¼öÆò±Õ,60-64¼¼,65¼¼-69¼¼,70¼¼ÀÌ»ó
11170580,¾ÆÄ§,10488.80777,303.0997819,209.8980675,320.2764109
11170590,¾ÆÄ§,10356.56519,328.3116565,241.3688118,365.462241
11170625,¾ÆÄ§,37185.36012,1047.114068,669.3409525,930.9725938
11170630,¾ÆÄ§,29207.15485,1002.465866,658.2187104,975.2547037
11170640,¾ÆÄ§,8359.758351,324.8079899,236.0610902,314.0084922
11170650,¾ÆÄ§,9665.362742,290.4587399,207.1018854,324.1566428
11170660,¾ÆÄ§,12482.27497,339.4741942,245.9126072,395.887337
11170685,¾ÆÄ§,29418.67867,817.3539127,642.3955883,896.5734526
11170690,¾ÆÄ§,17361.49771,541.2882045,399.6626987,597.9963022
11170700,¾ÆÄ§,11629.85595,399.4996083,275.5903268,354.526349
11200520,¾ÆÄ§,16483.64137,497.0873988,375.2873402,529.586022
11200535,¾ÆÄ§,28447.084,831.941256,609.6037931,848.8336456
11200540,¾ÆÄ§,24852.32006,789.1477553,574.9551395,828.8007678
11200550,¾ÆÄ§,20609.92545,459.4162093,323.0945606,480.7158136
11200560,¾ÆÄ§,16863.39184,488.538038,344.3712642,511.9239268
11200570,¾ÆÄ§,21643.33434,616.5509942,485.0059743,755.7173333
11200580,¾ÆÄ§,13558.38825,390.5575535,336.7024147,486.728312
11200590,¾ÆÄ§,16380.82185,549.1955883,409.517428,597.2177837
11200615,¾ÆÄ§,22685.80524,677.6439334,546.973362,793.6659792
11200620,¾ÆÄ§,12742.77104,404.4317481,334.2603455,488.2489737
11200645,¾ÆÄ§,31458.66558,965.2095597,763.6828903,1175.34465
11200650,¾ÆÄ§,17356.09911,620.8445116,356.3386293,456.2857693
11200660,¾ÆÄ§,18734.82922,610.7752947,378.1550022,545.515366
11200670,¾ÆÄ§,18772.59206,724.7068399,427.6596046,506.6452937
11200690,¾ÆÄ§,25670.00167,845.0895659,505.5991508,719.1141572
11200720,¾ÆÄ§,11842.43504,368.5271551,250.968642,314.5970114
11200790,¾ÆÄ§,19318.01093,612.3715028,428.1053375,631.2922733
