구명,단지명,주택유형,세대수,주소,우편번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
구로구,천왕공공원룸텔(천왕여성안심주택),기타임대,96,천왕로50 (천왕동 천왕이펜하우스S) ,8365,126.8386604,37.48165108,H,오류2동,126.8395046,37.4888147
구로구,천왕지구7단지(행복주택),행복(공사 건설형),374,천왕로 21 (천왕동 천왕이펜하우스7단지),8364,126.8389295,37.47917547,H,오류2동,126.8395046,37.4888147
구로구,천왕2도시형생활주택(연지마을1),행복(공사 건설형),181,오류로 36-13(오류동 천왕연지마을1단지),8350,126.8413063,37.48816786,H,오류2동,126.8395046,37.4888147
구로구,천왕2도시형생활주택(연지마을2),행복(공사 건설형),138,오리로 1102-13(천왕동 천왕연지마을2단지),8350,126.8424192,37.48469858,H,오류2동,126.8395046,37.4888147
구로구,천왕이펜하우스 8단지(천왕지구 8단지),행복(공사 건설형),298,구로구 금오로882(천왕동 산19-1),8271,126.8423166,37.47600363,H,오류2동,126.8395046,37.4888147
구로구,고척리본타운(고척동 156 장기전세),장기행복(공사 건설형),39,구로구 고척로52나길25(고척동156 고척리본타운),8228,126.8573602,37.50512671,H,고척2동,126.8586118,37.50671146
구로구,항동하버라인8단지(항동지구 8단지),국민,384,구로구 서해안로2036(항동218 항동하버라인),8368,126.8186962,37.47563907,H,항동,126.8234098,37.48018531
구로구,항동하버라인3단지,국민,1170,구로구 항동로 43(항동 171-4),8368,126.8248562,37.47892831,H,항동,126.8234098,37.48018531
구로구,항동하버라인9단지,행복(공사 건설형),298,구로구 항동로68(항동 136-1),8368,126.8258891,37.4803218,H,항동,126.8234098,37.48018531
구로구,항동하버라인10단지,행복(공사 건설형),297,구로구 항동로 60(항동 135-57),8368,126.8258231,37.47937979,H,항동,126.8234098,37.48018531
구로구,항동하버라인11단지,행복(공사 건설형),276,구로구 연동로 191-5(항동 184),8368,126.8223506,37.47806104,H,항동,126.8234098,37.48018531
구로구,항동하버라인4단지,국민,297,구로구 항동로 72(항동 84일원),8368,126.8266226,37.48124092,H,항동,126.8234098,37.48018531
구로구,항동하버라인2단지,국민,646,구로구 연동로234(항동 118-20),8368,126.8219731,37.48173352,H,항동,126.8234098,37.48018531
금천구,시흥목련,주거환경,173,금하로3길 26 (시흥동 시흥목련아파트),8615,126.8974391,37.45433501,H,시흥1동,126.9032507,37.45353927
금천구,관악벽산타운(시흥2-1),재개발,564,금하로 793 (시흥동 벽산2단지아파트),8655,126.9182454,37.4522125,H,시흥2동,126.9149053,37.44955855
금천구,시흥벽산(시흥1),재개발,1288,금하로 796 (시흥동 벽산6단지아파트),8646,126.9165259,37.44900828,H,시흥2동,126.9149053,37.44955855
금천구,백운한비치,재건축,112,금하로23길 52 (시흥동 백운한비치Ⅱ),8571,126.9093428,37.45357717,H,시흥5동,126.9083063,37.45240442
