,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
35,0338,일원역,Irwon,3호선,348,일원역 3호선,서울 강남구 일원로 지하 121,37.484073584028394,127.084451750048,0,H,일원본동,127.08649883003277,37.4833130035479
36,0339,수서역,Suseo,3호선,349,수서역 3호선,서울 강남구 광평로 지하 270,37.487388993350294,127.10185919101801,1,H,수서동,127.10500397212131,37.48888785942371
37,0434,남태령역,Namtaeryeong,4호선,434,남태령역 4호선,서울 서초구 과천대로 지하 816,37.4648575576518,126.988656544337,0,H,방배2동,126.9855736446241,37.47982624701295
38,2511,방화역,Banghwa,5호선,510,방화역 5호선,서울 강서구 금낭화로 지하 132,37.577003107946894,126.81262993382,0,H,방화3동,126.81355003364565,37.578743210924834
39,2512,개화산역,Gaehwasan,5호선,511,개화산역 5호선,서울 강서구 양천로 22,37.572270024754,126.806001672732,0,H,방화2동,126.80673880485905,37.56671300076564
40,2513,김포공항역,Gimpo Intl. Airport,5호선,512,김포공항역 5호선,서울 강서구 하늘길 지하 77,37.562144131501,126.801570320177,1,H,공항동,126.79483817099285,37.55591341272746
41,2514,송정역,Songjeong,5호선,513,송정역 5호선,서울 강서구 공항대로 지하 33,37.561477548313604,126.811055407613,0,H,공항동,126.79483817099285,37.55591341272746
42,2515,마곡역,Magok,5호선,514,마곡역 5호선,서울 강서구 공항대로 지하 163,37.5601984535897,126.825547992125,0,H,공항동,126.79483817099285,37.55591341272746
43,2531,애오개역,Aeogae,5호선,530,애오개역 5호선,서울 마포구 마포대로 지하 210,37.5533624029594,126.95661326016001,0,H,아현동,126.95590370163207,37.554483251679514
44,2533,서대문역,Seodaemun,5호선,532,서대문역 5호선,서울 종로구 통일로 지하 126,37.565856271913,126.966637398787,0,H,충현동,126.95472045972106,37.564819040623895
45,2534,광화문역,Gwanghwamun,5호선,533,광화문역 5호선,서울 종로구 세종대로 지하 172,37.5716228232824,126.97678799256501,0,H,사직동,126.96884605608865,37.57618696588561
46,2737,내방역,Naebang,7호선,735,내방역 7호선,서울 서초구 서초대로 지하 103,37.487533528504,126.99319030950899,0,H,방배1동,126.99450958540659,37.48336976730155
47,0214,강변역,Gangbyeon,2호선,214,강변역 2호선,서울 광진구 강변역로 53,37.5351692767888,127.094664569096,0,H,구의3동,127.09196131077688,37.53798181270719
48,0215,잠실나루역,Jamsillaru,2호선,215,잠실나루역 2호선,서울 송파구 오금로 20,37.520686731808794,127.10381108944401,0,H,잠실6동,127.1006605179514,37.51812745749349
49,0216,잠실역,Jamsil,2호선,216,잠실역 2호선,서울 송파구 올림픽로 지하 265,37.513859279255,127.101857941447,1,H,잠실6동,127.1006605179514,37.51812745749349
50,0217,잠실새내역,Jamsilsaenae,2호선,217,잠실새내역 2호선,서울 송파구 올림픽로 지하 140,37.5115672093323,127.08637386720699,0,H,잠실3동,127.09438326683343,37.5133248862588
51,0322,동대입구역,Dongguk Univ.,3호선,332,동대입구역 3호선,서울 중구 동호로 지하 256,37.559030224347,127.005460196954,0,H,장충동,127.00785943700775,37.56191183742461
52,0324,금호역,Geumho,3호선,334,금호역 3호선,서울 성동구 동호로 지하 104,37.5481125196986,127.015893753726,0,H,금호4가동,127.02240132684157,37.54719127436341
53,0325,옥수역,Oksu,3호선,335,옥수역 3호선,서울 성동구 동호로 21,37.5410468905674,127.01832999157601,1,H,옥수동,127.0134338126595,37.54358863837599
54,0326,압구정역,Apgujeong,3호선,336,압구정역 3호선,서울 강남구 압구정로 지하 172,37.5264308236177,127.028480919224,0,H,신사동,127.02277448907014,37.52398502986103
55,0327,신사역,Sinsa,3호선,337,신사역 3호선,서울 강남구 도산대로 지하 102,37.5164324582415,127.020326886309,0,H,논현1동,127.02855272024502,37.51149226338117
56,0328,잠원역,Jamwon,3호선,338,잠원역 3호선,서울 서초구 잠원로4길 지하 46,37.512799114810704,127.01122017966001,0,H,잠원동,127.01410282023416,37.51491868802903
57,0329,고속터미널역,Express Bus Terminal,3호선,339,고속터미널역 3호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,1,H,반포4동,127.00030759341732,37.49747606930116
58,0330,교대역,Seoul Nat`l Univ. of Education,3호선,340,교대역 3호선,서울 서초구 서초대로 지하 294,37.4935774661715,127.014155572616,1,H,서초1동,127.01957096253298,37.49007898260848
59,0331,남부터미널역,Nambu Bus Terminal,3호선,341,남부터미널역 3호선,서울 서초구 서초중앙로 지하 31,37.485140166040004,127.016207055102,0,H,서초1동,127.01957096253298,37.49007898260848
60,2738,이수역,Isu,7호선,736,이수역 7호선,서울 동작구 사당로 지하 310,37.485015143952,126.98102181208901,0,H,사당2동,126.97925342785726,37.48875249863833
61,2811,암사역,Amsa,8호선,810,암사역 8호선,서울 강동구 올림픽로 지하 776,37.5501403417224,127.127540246626,0,H,천호2동,127.1254393146216,37.54344348896423
62,2812,천호역,Cheonho,8호선,811,천호역 8호선,서울 강동구 천호대로 지하 997,37.5385789820645,127.123742434482,1,H,천호2동,127.1254393146216,37.54344348896423
63,2813,강동구청역,Gangdong-gu Office,8호선,812,강동구청역 8호선,서울 강동구 올림픽로 지하 550,37.5306740877124,127.12057605164,0,H,풍납2동,127.11682116834518,37.528776839455645
64,4132,석촌고분역,Seokchon Gobun,9호선,932,석촌고분역 9호선,서울 송파구 백제고분로 지하 274,37.5024703189666,127.096703734242,0,H,삼전동,127.09251970719157,37.50272333861296
65,0218,종합운동장역,Sports Complex,2호선,218,종합운동장역 2호선,서울 송파구 올림픽로 지하 23,37.510969274899296,127.073356018706,1,H,잠실7동,127.07696864354489,37.508670315882846
66,0219,삼성역,Samseong,2호선,219,삼성역 2호선,서울 강남구 테헤란로 지하 538,37.5088619974404,127.063073009788,0,H,삼성1동,127.06252794171509,37.51439120945542
67,0220,선릉역,Seolleung,2호선,220,선릉역 2호선,서울 강남구 테헤란로 지하 340,37.5045028775835,127.048942471228,1,H,역삼2동,127.0468346777432,37.49596751103195
68,0221,역삼역,Yeoksam,2호선,221,역삼역 2호선,서울 강남구 테헤란로 지하 156,37.500716269359295,127.036618203089,0,H,역삼1동,127.03320108651666,37.49542431718493
69,0222,강남역,Gangnam,2호선,222,강남역 2호선,서울 강남구 강남대로 지하 396,37.4981646510326,127.028307900881,1,H,역삼1동,127.03320108651666,37.49542431718493
70,0223,교대역,Seoul Nat`l Univ. of Education,2호선,223,교대역 2호선,서울 서초구 서초대로 지하 294,37.4935774661715,127.014155572616,1,H,서초1동,127.01957096253298,37.49007898260848
71,0317,경복궁역,Gyeongbokgung,3호선,327,경복궁역 3호선,서울 종로구 사직로 지하 130,37.57586130277021,126.973062710191,0,H,사직동,126.96884605608865,37.57618696588561
72,0318,안국역,Anguk,3호선,328,안국역 3호선,서울 종로구 율곡로 지하 62,37.5767203705556,126.985823042976,0,H,가회동,126.98477996418791,37.58007157843739
73,0319,종로3가역,Jongno 3(sam)-ga,3호선,329,종로3가역 3호선,서울 종로구 돈화문로 지하 30,37.571140278593795,126.991994361467,1,H,종로1.2.3.4가동,126.99028726084354,37.574435539666744
74,0320,을지로3가역,Euljiro 3(sam)-ga,3호선,330,을지로3가역 3호선,서울 중구 을지로 지하 129,37.5662750350156,126.992650024369,1,H,을지로동,126.99135225472774,37.566701478579624
75,2627,공덕역,Gongdeok,6호선,626,공덕역 6호선,서울 마포구 백범로 지하 200,37.543526917067,126.951947569181,1,H,공덕동,126.96003451324378,37.55017434738842
76,2628,효창공원앞역,Hyochang park,6호선,627,효창공원앞역 6호선,서울 용산구 백범로 지하 287,37.539334042392994,126.961318543969,1,H,효창동,126.96189891954826,37.54237952039099
