정류소명,X좌표,Y좌표,정류버스수
남구로역,126.8862393282,37.48428596,16
시흥초등학교.금천구보훈회관,126.9058834994,37.4553446775,16
동산교회앞,126.9055522441,37.4570185009,16
현대시장.시흥4동주민센터,126.9051135901,37.4592333836,16
우신초등학교,126.910840178,37.5092329862,16
와산교,126.9130027216,37.5881064536,16
개화2치안센터,126.8020999506,37.5752853021,16
마곡동로사거리,126.831807905,37.5591180535,16
푸른마을1단지.이든채아파트,126.8355081266,37.5127169656,16
신정역(은행정).신정4동주민센터,126.8542916689,37.5246626657,16
대원시장,126.8381378493,37.5440071039,16
화곡중고등학교,126.8364222824,37.5471902493,16
홍제삼거리.인왕산한신휴플러스,126.947842775,37.5852070708,16
안산초등학교,126.9515413573,37.5806225052,16
인왕산.홍제원아파트,126.9489140557,37.5844295042,16
은평공영차고지,126.883112,37.591454,16
본서부병원,126.9235535905,37.6006263607,16
은평세무서,126.9266264494,37.6012966302,16
새마을금고,126.9595027769,37.5371259582,15
경복궁역,126.9722922115,37.5768887748,15
조계사,126.9828944772,37.5724880557,15
용두동사거리,127.0299990118,37.5775089018,15
도봉산역,127.0454321974,37.6891947508,15
홍파초등학교,127.0384168127,37.5855992613,15
금남시장앞.백범학원터,127.022486371,37.5482740348,15
광성중고등학교,126.9398340224,37.548877146,15
태릉입구역,127.0744608155,37.6171436785,15
농협앞,127.0920296352,37.5893561893,15
지하철7호선면목역,127.0883511907,37.5884305722,15
답십리역사거리,127.0550791536,37.5655907703,15
삼호아파트,126.9877512453,37.4968049675,15
은마아파트,127.0627366284,37.495552265,15
영동대교북단,127.061105,37.537191,15
현대아파트.유한양행,126.9323746431,37.51329595,15
동작상떼빌아파트,126.9045850926,37.4865265141,15
미림여고.미림여자정보과학고,126.9313044887,37.4655419812,15
신우초등학교,126.9316995045,37.4624182319,15
삼성산성지,126.9298671115,37.4587727552,15
삼성산주공아파트,126.9253600872,37.4611437887,15
청화병원,126.9399895404,37.5072594891,15
서울공업고등학교,126.922430384,37.4997986485,15
남영역,126.9719241389,37.5420204904,15
상암고등학교,126.884164203,37.5818971087,15
성원아파트경남아너스빌앞,127.0955183607,37.6039650362,15
충무아트센터.스포츠센터.중부소방서,127.014052208,37.5651584448,15
중랑공영차고지,127.1020071933,37.6136093277,15
강일리버파크6단지,127.1754912524,37.5640438649,15
고속철도수서역,127.1047390973,37.4845767126,15
